;journal;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
257;medical history;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
258;avicenna journal of medicine;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
259;journal of intensive care medicine;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
260;future cardiology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
261;khirurgiia;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
262;indian heart journal;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
263;cirugia pediatrica : organo oficial de la sociedad espanola de cirugia pediatrica;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
264;respiratory care;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
265;cadernos de saude publica;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
266;texas heart institute journal;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
267;gynecologie, obstetrique, fertilite & senologie;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
268;international journal of colorectal disease;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
269;bmc rheumatology;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
270;the patient;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
271;world journal of emergency surgery : wjes;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
272;ear, nose, & throat journal;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
273;health expectations : an international journal of public participation in health  care and health policy;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
274;journal of tissue engineering and regenerative medicine;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
275;immunity & ageing : i & a;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
276;a&a practice;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
277;israel journal of health policy research;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
278;revue medicale de liege;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
279;journal of neonatal-perinatal medicine;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
280;ulusal travma ve acil cerrahi dergisi = turkish journal of trauma & emergency surgery : tjtes;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
281;ethics & human research;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
282;policy, politics & nursing practice;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
283;european journal of haematology;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
284;jama network open;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
285;irish journal of medical science;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
286;saudi journal of gastroenterology : official journal of the saudi gastroenterology association;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
287;southern medical journal;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
288;journal of b.u.on. : official journal of the balkan union of oncology;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
289;american journal of obstetrics and gynecology;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
290;journal of empirical research on human research ethics : jerhre;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
291;the journal of thoracic and cardiovascular surgery;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
292;journal of korean medical science;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
293;animals : an open access journal from mdpi;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
294;stem cell reports;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
295;indian journal of plastic surgery : official publication of the association of plastic surgeons of india;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
296;ui sahak;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
297;acta gastro-enterologica belgica;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
298;journal of clinical nursing;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
299;canadian bulletin of medical history = bulletin canadien d'histoire de la medecine;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
300;anales de pediatria;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
301;archives of disease in childhood. education and practice edition;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
302;international journal of environmental research and public health;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
303;brazilian journal of cardiovascular surgery;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
304;annals of anatomy = anatomischer anzeiger : official organ of the anatomische gesellschaft;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
305;journal of anesthesia history;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
306;international urology and nephrology;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
307;the lancet. oncology;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
308;research integrity and peer review;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
309;revue des maladies respiratoires;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
310;embo reports;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
311;journal of biological engineering;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
312;psychotherapie, psychosomatik, medizinische psychologie;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
313;aids care;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
314;the international journal of cardiovascular imaging;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
315;european urology;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
316;cardiovascular drugs and therapy;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
317;anaesthesiology intensive therapy;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
318;journal of clinical epidemiology;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
319;toxicology reports;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
320;research involvement and engagement;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
321;surgical innovation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
322;international braz j urol : official journal of the brazilian society of urology;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
323;the pan african medical journal;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
324;revista latino-americana de enfermagem;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
325;journal of law and the biosciences;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
326;revue scientifique et technique (international office of epizootics);0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
327;expert opinion on drug discovery;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
328;epidemiologia e prevenzione;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
329;archivos de bronconeumologia;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
330;klinische padiatrie;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
331;clinics and research in hepatology and gastroenterology;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
332;emerging topics in life sciences;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
333;zhonghua yi xue za zhi;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
334;bmj case reports;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
335;the journal of bone and joint surgery. american volume;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
336;journal of cardiothoracic surgery;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
337;plastic and reconstructive surgery. global open;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
338;turkish journal of medical sciences;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
339;translational pediatrics;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
340;open access macedonian journal of medical sciences;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
341;laboratory animals;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
342;journal of pharmaceutical health care and sciences;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
343;clinical rheumatology;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
344;digestive diseases and sciences;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
345;jama surgery;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
346;expert review of respiratory medicine;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
347;cellular and molecular biology (noisy-le-grand, france);0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
348;seminars in cardiothoracic and vascular anesthesia;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
349;aorn journal;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
350;journal of robotic surgery;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
351;journal of public health (oxford, england);0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
352;the ochsner journal;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
353;medical humanities;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
354;the journal of the association of physicians of india;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
355;jornal de pediatria;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
356;medicine and law;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
357;health (london, england : 1997);0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
358;ageing research reviews;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
359;brain : a journal of neurology;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
360;medicine studies;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
361;journal of medical ethics and history of medicine;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
362;the american journal of hospice & palliative care;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
363;pediatrics in review;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
364;clinics in laboratory medicine;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
365;seminars in immunopathology;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
366;digestive and liver disease : official journal of the italian society of gastroenterology and the italian association for the study of the liver;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
367;european journal of obstetrics, gynecology, and reproductive biology;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
368;acta paediatrica (oslo, norway : 1992);0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
369;frontiers of medicine;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
370;minnesota medicine;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
371;clinical pharmacology and therapeutics;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
372;cardiology research and practice;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
373;progress in cardiovascular diseases;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
374;biopreservation and biobanking;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
375;current neurology and neuroscience reports;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
376;pharmacoepidemiology and drug safety;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
377;bulletin de la societe de pathologie exotique (1990);0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
378;embo molecular medicine;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
379;iranian journal of kidney diseases;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
380;radiologic technology;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
381;current opinion in nephrology and hypertension;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
382;the mount sinai journal of medicine, new york;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
383;nigerian journal of surgery : official publication of the nigerian surgical research society;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
384;therapeutische umschau. revue therapeutique;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
385;haemophilia : the official journal of the world federation of hemophilia;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
386;albany law review;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
387;journal of perinatology : official journal of the california perinatal association;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
388;indian journal of pathology & microbiology;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
389;nature medicine;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
390;accountability in research;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
391;cuadernos de bioetica : revista oficial de la asociacion espanola de bioetica y etica medica;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
392;bju international;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
393;world neurosurgery;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
394;archives of iranian medicine;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
395;orvosi hetilap;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
396;science progress;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
397;"der chirurg; zeitschrift fur alle gebiete der operativen medizen";1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
398;anesteziologiia i reanimatologiia;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
399;scientific american;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
400;journal of the american geriatrics society;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
401;journal of the south carolina medical association (1975);1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
402;in vivo (athens, greece);1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
403;journal of law and medicine;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
404;asian journal of surgery;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
405;kidney international. supplement;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
406;bratislavske lekarske listy;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
407;journal of translational medicine;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
408;l' orthodontie francaise;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
409;nihon rinsho. japanese journal of clinical medicine;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
410;minerva medica;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
411;revista da associacao medica brasileira (1992);1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
412;revue de pneumologie clinique;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
413;annali di igiene : medicina preventiva e di comunita;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
414;cannt journal = journal acitn;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
415;the journal of the american academy of orthopaedic surgeons;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
416;neurocritical care;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
417;hand clinics;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
418;nephrology news & issues;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
419;plastic surgical nursing : official journal of the american society of plastic and reconstructive surgical nurses;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
420;international journal of psychiatry in medicine;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
421;rofo : fortschritte auf dem gebiete der rontgenstrahlen und der nuklearmedizin;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
422;stem cells and development;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
423;nuclear medicine and biology;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
424;european radiology;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
425;dimensions of critical care nursing : dccn;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
426;european journal of epidemiology;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
427;the journal of pediatrics;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
428;eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
429;open medicine : a peer-reviewed, independent, open-access journal;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
430;international journal of organ transplantation medicine;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
431;archives of facial plastic surgery;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
432;gastroenterology nursing : the official journal of the society of gastroenterology nurses and associates;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
433;journal of nephrology;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
434;arab journal of nephrology and transplantation;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
435;the british journal of dermatology;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
436;health affairs (project hope);0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
437;a & a case reports;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
438;giornale italiano di cardiologia (2006);0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
439;archives of disease in childhood. fetal and neonatal edition;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
440;world journal of transplantation;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
441;proceedings of the national academy of sciences of the united states of america;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
442;the lancet. respiratory medicine;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
443;journal of gastrointestinal surgery : official journal of the society for surgery of the alimentary tract;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
444;the european respiratory journal;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
445;journal of the american academy of dermatology;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
446;frontiers in pediatrics;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
447;the national medical journal of india;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
448;journal of cardiac surgery;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
449;qjm : monthly journal of the association of physicians;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
450;hormone and metabolic research = hormon- und stoffwechselforschung = hormones et  metabolisme;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
451;the european journal of health economics : hepac : health economics in prevention and care;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
452;journal of hypertension;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
453;experimental biology and medicine (maywood, n.j.);0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
454;current infectious disease reports;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
455;medicina intensiva;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
456;the british journal of surgery;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
457;resuscitation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
458;british dental journal;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
459;the canadian journal of cardiology;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
460;academic medicine : journal of the association of american medical colleges;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
461;deutsches arzteblatt international;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
462;internet interventions;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
463;progres en urologie : journal de l'association francaise d'urologie et de la societe francaise d'urologie;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
464;hla;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
465;the turkish journal of gastroenterology : the official journal of turkish society of gastroenterology;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
466;neurologia medico-chirurgica;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
467;bulletin du cancer;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
468;british medical bulletin;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
469;indian journal of nephrology;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
470;oral diseases;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
471;biology of blood and marrow transplantation : journal of the american society for blood and marrow transplantation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
472;journal of autoimmunity;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
473;congenital heart disease;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
474;cold spring harbor perspectives in medicine;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
475;academic emergency medicine : official journal of the society for academic emergency medicine;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
476;danish medical journal;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
477;transplant infectious disease : an official journal of the transplantation society;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
478;nederlands tijdschrift voor geneeskunde;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
479;current problems in surgery;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
480;the medico-legal journal;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
481;journal of obstetrics and gynaecology : the journal of the institute of obstetrics and gynaecology;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
482;journal of christian nursing : a quarterly publication of nurses christian fellowship;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
483;digestive diseases (basel, switzerland);0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
484;american journal of respiratory and critical care medicine;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
485;journal of prevention & intervention in the community;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
486;the milbank quarterly;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
487;praxis;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
488;nursing research;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
489;the surgical clinics of north america;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
490;annals of hepatology;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
491;hepatobiliary surgery and nutrition;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
492;human reproduction (oxford, england);0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
493;duke law journal;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
494;the journal of clinical investigation;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
495;nursing;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
496;nursing forum;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
497;microsurgery;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
498;journal international de bioethique = international journal of bioethics;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
499;best practice & research. clinical gastroenterology;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
500;herz;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
501;continuum (minneapolis, minn.);0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
502;nature reviews. cardiology;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
503;journal of gerontological nursing;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
504;nursing times;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
505;women's health (london, england);0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
506;cell stem cell;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
507;journal of magnetic resonance imaging : jmri;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
508;bulletin of the history of medicine;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
509;cell journal;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
510;annales de dermatologie et de venereologie;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
511;veterinary journal (london, england : 1997);0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
512;bulletin of the american college of surgeons;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
513;paediatrics & child health;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
514;medicinski pregled;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
515;the lancet. gastroenterology & hepatology;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
